1,Anti-Ragging Committee,x,x,x,x,admin,0
2,Hostel Discipline Committee,x,x,x,x,admin,0
3,Proctorial Board,x,x,x,x,admin,0
4,SC/ST Welfare Committee,x,x,x,x,admin,0
5,Social & Cultural Committee,x,x,x,x,admin,0
6,Sports & Athletics Committee,x,x,x,x,admin,0
7,Student Grievance Committee,x,x,x,x,admin,0
8,Technology Incubation & Innovation Cell,x,x,x,x,admin,0
9,University Discipline Committee,x,x,x,x,admin,0
10,Internal Complaints Committee (ICC),x,x,x,x,admin,0
11,Students Consultative Committee,x,x,x,x,admin,0
12,Women Welfare Cell,x,x,x,x,admin,0
13,Finance Committee,x,x,x,x,admin,0
14,Employee Grievance Committee,x,x,x,x,admin,0
